,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Tweets,Length,ID,Date,Likes,Retweets,Sentiment,Feature Words (Porter),Feature Words (Lancaster),Words
0,0,0,0,0,0,0,0,"RT @realDonaldTrump: Highly respected Senator Richard Burr, head of Senate Intelligence, said, after interviewing over 200 witnesses and st…",140,1099996565551439872,2019-02-25 11:36:32,0,32637,,"['rt', 'at_us', 'highli', 'respect', 'senat', 'richard', 'burr', 'head', 'senat', 'intellig', 'said', 'interview', 'wit']","['rt', 'at_user', 'high', 'respect', 'sen', 'richard', 'bur', 'head', 'sen', 'intellig', 'said', 'interview', 'wit']","RT AT_USER Highly respected Senator Richard Burr, head of Senate Intelligence, said, after interviewing over 200 witnesses and st…"
1,1,1,1,1,1,1,1,"We have a State of Emergency at our Southern Border. Border Patrol, our Military and local Law Enforcement are doin… https://t.co/5e9CMdHSDe",140,1099995611305254912,2019-02-25 11:32:45,6416,1642,,"['we', 'state', 'emerg', 'southern', 'border', 'border', 'patrol', 'militari', 'local', 'law', 'enforc', 'link']","['we', 'stat', 'emerg', 'southern', 'bord', 'bord', 'patrol', 'milit', 'loc', 'law', 'enforc', 'link']","We have a State of Emergency at our Southern Border. Border Patrol, our Military and local Law Enforcement are doin… LINK"
2,2,2,2,2,2,2,2,"....productive talks, I will be delaying the U.S. increase in tariffs now scheduled for March 1. Assuming both side… https://t.co/ASdNbpcCvk",140,1099803719435239426,2019-02-24 22:50:14,84666,18647,,"['talk', 'i', 'delay', 'increas', 'tariff', 'schedul', 'march', 'assum', 'link']","['talk', 'i', 'delay', 'increas', 'tariff', 'scheduled', 'march', 'assum', 'link']","....productive talks, I will be delaying the U.S. increase in tariffs now scheduled for March 1. Assuming both side… LINK"
3,3,3,3,3,3,3,3,I am pleased to report that the U.S. has made substantial progress in our trade talks with China on important struc… https://t.co/iFqrswXCmw,140,1099800961089003522,2019-02-24 22:39:17,87411,18721,,"['i', 'pleas', 'report', 'made', 'substanti', 'progress', 'trade', 'talk', 'china', 'import', 'link']","['i', 'pleas', 'report', 'mad', 'subst', 'progress', 'trad', 'talk', 'chin', 'import', 'link']",I am pleased to report that the U.S. has made substantial progress in our trade talks with China on important struc… LINK
4,4,4,4,4,4,4,4,"So funny to watch people who have failed for years, they got NOTHING, telling me how to negotiate with North Korea. But thanks anyway!",134,1099722424059420673,2019-02-24 17:27:12,130762,29785,,"['so', 'funni', 'watch', 'peopl', 'fail', 'year', 'got', 'noth', 'tell', 'negoti', 'north', 'korea', 'but', 'thank', 'anyway']","['so', 'funny', 'watch', 'peopl', 'fail', 'year', 'got', 'noth', 'tel', 'negoty', 'nor', 'kore', 'but', 'thank', 'anyway']","So funny to watch people who have failed for years, they got NOTHING, telling me how to negotiate with North Korea. But thanks anyway!"
5,5,5,5,5,5,5,5,"The only Collusion with the Russians was with Crooked Hillary Clinton and the Democratic National Committee...And,… https://t.co/ojVg7Xi9Fs",139,1099713451457462273,2019-02-24 16:51:33,115248,30803,,"['the', 'collus', 'russian', 'crook', 'hillari', 'clinton', 'democrat', 'nation', 'committe', 'and', 'link']","['the', 'collud', 'russ', 'crook', 'hil', 'clinton', 'democr', 'nat', 'commit', 'and', 'link']","The only Collusion with the Russians was with Crooked Hillary Clinton and the Democratic National Committee...And,… LINK"
6,6,6,6,6,6,6,6,93% Approval Rating in the Republican Party. 52% Approval Rating overall! Not bad considering I get the most unfair… https://t.co/HVOzsoxZub,140,1099685950077222913,2019-02-24 15:02:16,135559,29054,,"['approv', 'rate', 'republican', 'parti', 'approv', 'rate', 'overal', 'not', 'bad', 'consid', 'i', 'get', 'link']","['approv', 'rat', 'republ', 'party', 'approv', 'rat', 'overal', 'not', 'bad', 'consid', 'i', 'get', 'link']",93% Approval Rating in the Republican Party. 52% Approval Rating overall! Not bad considering I get the most unfair… LINK
7,7,7,7,7,7,7,7,Poll: Suburban women are coming back into the Republican Party in droves “because of the Wall and Border Security.… https://t.co/Jz0YqFbuS6,139,1099684406002925568,2019-02-24 14:56:08,98350,22278,,"['poll', 'suburban', 'women', 'come', 'back', 'republican', 'parti', 'drove', 'wall', 'border', 'link']","['pol', 'suburb', 'wom', 'com', 'back', 'republ', 'party', 'drov', 'wal', 'bord', 'link']",Poll: Suburban women are coming back into the Republican Party in droves “because of the Wall and Border Security.… LINK
8,8,8,8,8,8,8,8,"Chairman Kim realizes, perhaps better than anyone else, that without nuclear weapons, his country could fast become… https://t.co/smNbOvs6UB",140,1099660044004704260,2019-02-24 13:19:19,69573,15784,,"['chairman', 'kim', 'realiz', 'perhap', 'better', 'anyon', 'els', 'without', 'nuclear', 'weapon', 'countri', 'could', 'fast', 'link']","['chairm', 'kim', 'real', 'perhap', 'bet', 'anyon', 'els', 'without', 'nuclear', 'weapon', 'country', 'could', 'fast', 'link']","Chairman Kim realizes, perhaps better than anyone else, that without nuclear weapons, his country could fast become… LINK"
9,9,9,9,9,9,9,9,President Xi of China has been very helpful in his support of my meeting with Kim Jong Un. The last thing China wan… https://t.co/wDFsPyFanZ,140,1099656646840778752,2019-02-24 13:05:49,76198,15937,,"['presid', 'xi', 'china', 'help', 'support', 'meet', 'kim', 'jong', 'un', 'the', 'last', 'thing', 'china', 'link']","['presid', 'xi', 'chin', 'help', 'support', 'meet', 'kim', 'jong', 'un', 'the', 'last', 'thing', 'chin', 'link']",President Xi of China has been very helpful in his support of my meeting with Kim Jong Un. The last thing China wan… LINK
