,text
0,RT @realDonaldTrump: The Witch Hunt continues! https://t.co/9W1iUgE0d6
1,"RT @WhiteHouse: ""There is no veteran that we will leave behind . . . That is what is so important about this executive order."" https://t.co…"
2,RT @realDonaldTrump: Border Patrol and Law Enforcement has apprehended (captured) large numbers of illegal immigrants at the Border. They w…
3,RT @realDonaldTrump: https://t.co/QUuEBfFo44
4,"RT @realDonaldTrump: ....as Secretary of the Air Force, and I know she will be equally great in the very important world of higher educatio…"
5,"RT @realDonaldTrump: Congratulations to Heather Wilson, who is the sole finalist to become the next President of University of Texas at El…"
6,RT @realDonaldTrump: Bad lawyer and fraudster Michael Cohen said under sworn testimony that he never asked for a Pardon. His lawyers totall…
7,RT @realDonaldTrump: Heading now to the Great State of Alabama!
8,"RT @realDonaldTrump: On International Women’s Day, we honor women worldwide for their vital role in shaping and strengthening our communiti…"
9,"RT @realDonaldTrump: Women’s unemployment rate is down to 3.6% - was 7.9% in January, 2011. Things are looking good!"
10,RT @realDonaldTrump: We are apprehending record numbers of illegal immigrants - but we need the Wall to help our great Border Patrol Agents!
11,RT @realDonaldTrump: “This is as good a time as I can remember to be an American Worker. We have the strongest economy in the world.”  Stua…
12,RT @realDonaldTrump: Both the Judge and the lawyer in the Paul Manafort case stated loudly and for the world to hear that there was NO COLL…
13,RT @realDonaldTrump: PRESIDENTIAL HARASSMENT!
14,"RT @realDonaldTrump: I cannot believe the level of dishonesty in the media. It is totally out of control, but we are winning!"
15,RT @realDonaldTrump: Thank you @foxandfriends. Great show!
16,RT @realDonaldTrump: The Wall is being built and is well under construction. Big impact will be made. Many additional contracts are close t…
17,RT @realDonaldTrump: Breaking News @MSNBC: “Cohen’s lawyer contradicts Cohen’s testimony about never seeking a Presidential Pardon.”
18,RT @FLOTUS: It was wonderful to welcome the Prime Minister &amp; his wife Monika Babišová of the Czech Republic to the @WhiteHouse today. I enj…
19,RT @FLOTUS: Honored to celebrate a group of extraordinary women today at the @StateDept’s #WomenofCourage ceremony.  These women are making…
20,RT @realDonaldTrump: We are on track to APPREHEND more than one million people coming across the Southern Border this year. Great job by Bo…
21,RT @WhiteHouse: .@IvankaTrump: “The mission of this board is to ensure all Americans can benefit from the nation’s historic economic boom a…
22,"RT @realDonaldTrump: Democrats just blocked @FoxNews from holding a debate. Good, then I think I’ll do the same thing with the Fake News Ne…"
23,RT @realDonaldTrump: Wall Street Journal: “More migrant families crossing into the U.S. illegally have been arrested in the first five mont…
24,RT @realDonaldTrump: Congressman Chris Stewart: “No one is accusing the President of a crime and yet they (the Democrats) are issuing hundr…
25,RT @realDonaldTrump: American Workforce Policy Advisory Board Meeting at the @WhiteHouse! https://t.co/izb2tTrINB
26,RT @WhiteHouse: Watch LIVE: President Trump Participates in an American Workforce Policy Advisory Board Meeting https://t.co/sSwy96S9ae
27,RT @realDonaldTrump: It is shameful that House Democrats won’t take a stronger stand against Anti-Semitism in their conference. Anti-Semiti…
28,"RT @realDonaldTrump: Senate Republicans are not voting on constitutionality or precedent, they are voting on desperately needed Border Secu…"
29,"RT @WhiteHouse: ""It is absolutely abhorrent that Democrats are still refusing to acknowledge the crisis on the border—particularly when Bar…"
30,"RT @realDonaldTrump: Hans Von Spakovsky, “I haven’t seen any evidence of actual violations of the law, which is usually a basis before you…"
31,"RT @WhiteHouse: ""What the President has done is marshal the entire power of the Federal Government to address this on behalf of a grateful…"
32,"RT @realDonaldTrump: ....Scott has helped us to lower drug prices, get a record number of generic drugs approved and onto the market, and s…"
33,"RT @realDonaldTrump: Scott Gottlieb, who has done an absolutely terrific job as Commissioner of the FDA, plans to leave government service…"
34,RT @WhiteHouse: Rep. Adam Kinzinger sets the record straight: A wall would help with the humanitarian crisis happening at our border. https…
35,"RT @WhiteHouse: ""To every veteran, I want you to know that you have an entire nation of more than 300 million people behind you."" https://t…"
36,"RT @realDonaldTrump: Just a few moments ago, I signed an EO addressing one of our nation’s most heartbreaking tragedies: VETERANS SUICIDE.…"
37,"RT @WhiteHouse: Today, President Trump confronted a solemn crisis by signing an executive order to help end the national tragedy of veteran…"
38,RT @realDonaldTrump: Our great First Lady (@FLOTUS) will be doing a LIVE show TODAY at 1:00 PM PT with the terrific @EricBolling at the @We…
39,RT @WhiteHouse: LIVE NOW: President Trump Signs an Executive Order to Empower Veterans and End Veteran Suicide https://t.co/v1uXpvlwpR
40,RT @realDonaldTrump: PRESIDENTIAL HARASSMENT!
41,RT @realDonaldTrump: The greatest overreach in the history of our Country. The Dems are obstructing justice and will not get anything done.…
42,"RT @realDonaldTrump: “HIV Is Cured In 2nd Patient, Doctors Report.” @nytimes  Such great news for so many. Tremendous progress being made!"
43,"RT @realDonaldTrump: Now that they realize the only Collusion with Russia was done by Crooked Hillary Clinton &amp; the Democrats, Nadler, Schi…"
44,RT @realDonaldTrump: @StarParker is indeed a “Star!” Thank you. Center for Urban Renewal &amp; Ed. @JesseBWatters @LauraIngram
45,RT @realDonaldTrump: Representative Ilhan Omar is again under fire for her terrible comments concerning Israel. Jewish groups have just sen…
46,RT @realDonaldTrump: “We the people will now be subjected to the biggest display of modern day McCarthyism....which is the widest fishing n…
47,"RT @WhiteHouse: President Trump's approach to North Korea is a new one for the USA: willing to engage, and willing to walk away if terms ar…"
48,"RT @WhiteHouse: President @realDonaldTrump ""maintained a cordial and mature relationship with Kim while firmly rejecting his attempt to dis…"
49,"RT @WhiteHouse: President Trump's message to those affected by the tornadoes in the Gulf states: ""We grieve by your side and we pledge our…"
50,RT @realDonaldTrump: “There is no Collusion. All of these investigations are in search of a crime. Democrats have no evidence to impeach Pr…
51,"RT @realDonaldTrump: “Now that the Dems are going to try &amp; switch from Collusion to some other reason, it makes them continue to look like…"
52,"RT @FLOTUS: Thank you to the teachers, leadership &amp; students of DOVE School of Discovery in Tulsa for welcoming me today. There is great wo…"
53,"RT @realDonaldTrump: The military drills, or war games as I call them, were never even discussed in my mtg w/ Kim Jong Un of NK—FAKE NEWS!…"
54,RT @realDonaldTrump: To the great people of Alabama and surrounding areas: Please be careful and safe. Tornadoes and storms were truly viol…
55,RT @realDonaldTrump: https://t.co/PTLqvZNwqY
56,RT @realDonaldTrump: We’ve got NASA “rocking” again. Great activity and success. Congrats to SPACEX and all!
57,RT @realDonaldTrump: The brand new manuscript for a new book by failed lawyer Michael Cohen shows his testimony was a total lie! Pundits sh…
58,RT @realDonaldTrump: Virtually everything failed lawyer Michael Cohen said in his sworn testimony last week is totally contradicted in his…
59,"RT @realDonaldTrump: Will be speaking at CPAC at 11:30 this morning. Record crowd, live broadcast. Enjoy!"
60,RT @realDonaldTrump: ....and I did not increase their second traunch of Tariffs to 25% on March 1st. This is very important for our great f…
61,"RT @realDonaldTrump: I have asked China to immediately remove all Tariffs on our agricultural products (including beef, pork, etc.) based o…"
62,"RT @realDonaldTrump: ....for Otto’s mistreatment and death. Most important, Otto Warmbier will not have died in vain. Otto and his family h…"
63,"RT @realDonaldTrump: I never like being misinterpreted, but especially when it comes to Otto Warmbier and his great family. Remember, I got…"
64,RT @realDonaldTrump: Michael Cohen’s book manuscript shows that he committed perjury on a scale not seen before. He must have forgotten abo…
65,"RT @realDonaldTrump: ...and the fraudulent and dishonest statements he made on Wednesday. No way, it’s time to stop this corrupt and illega…"
66,"RT @realDonaldTrump: Oh’ I see! Now that the 2 year Russian Collusion case has fallen apart, there was no Collusion except bye Crooked Hill…"
67,"RT @realDonaldTrump: Congress must demand the transcript of Michael Cohen’s new book, given to publishers a short time ago. Your heads will…"
68,"RT @realDonaldTrump: Wow, just revealed that Michael Cohen wrote a “love letter to Trump” manuscript for a new book that he was pushing. Wr…"
69,"RT @realDonaldTrump: Great to be back from Vietnam, an amazing place. We had very substantive negotiations with Kim Jong Un - we know what…"
70,RT @realDonaldTrump: https://t.co/hUK9dSBM3M
71,RT @realDonaldTrump: https://t.co/ywNk8EhOh0
72,"RT @realDonaldTrump: Today in Alaska, it was my great honor to visit with our brave men and women of the United States Military at Joint Ba…"
73,RT @realDonaldTrump: I will be interviewed by @seanhannity at 9:00 P.M. on @FoxNews. Enjoy!
74,RT @realDonaldTrump: Everyone MUST watch the opening to @TuckerCarlson - A Classic! @foxnews
75,RT @WhiteHouse: https://t.co/wHbTi3O94u
76,RT @WhiteHouse: https://t.co/W5igj8FLTW
77,RT @WhiteHouse: https://t.co/j4MvS7bedI
78,"RT @FLOTUS: Looking forward to visiting OK, WA and NV next week. Through #BeBest I will continue to help promote successful programs that p…"
79,"RT @WhiteHouse: Larry Kudlow, as always, gets right to the point: ""The policies are WORKING."" https://t.co/dQqHVzFNVz"
80,"RT @realDonaldTrump: THANK YOU to our generous hosts in Hanoi this week: President Trong, Prime Minister Phuc, and the wonderful people of…"
81,"RT @StateDept: President @realDonaldTrump and @SecPompeo participate in a Press Conference in Hanoi, Vietnam, on February 28, 2019. https:/…"
